stkcd,year,industry_code,resilience_composite,size,leverage,roa,first_sanction_year
000835,2011,C25,0.0675348801540362,20.3272571563721,0.328812122344971,0.00511792581528425,
000835,2012,C25,0.0901212556294639,20.2928504943848,0.346196740865707,-0.053498987108469,
000835,2013,C25,0.384544283707223,20.1227321624756,0.23033843934536,0.0108406329527497,
000835,2014,C25,0.25605219361856,19.9274578094482,0.0841284990310669,0.0132330423220992,
000835,2015,C25,0.081793745549776,21.1120414733887,0.766015350818634,0.0122544290497899,
000836,2010,K70,0.26900919744871,21.6434173583984,0.615841448307037,0.00381487025879323,
000836,2011,C39,0.181321843681389,21.4644012451172,0.542445123195648,-0.0278991516679525,
000836,2012,C38,0.413864479608708,21.5788974761963,0.574330568313599,0.0253289435058832,
000836,2013,C38,0.223284552688087,21.6217155456543,0.573918700218201,0.0073659298941493,
000836,2014,C38,0.255814719229068,21.5488395690918,0.623431146144867,-0.0817229524254799,
000836,2015,C38,0.585174751905772,21.9319686889648,0.442136019468307,0.0397839695215225,
000836,2016,C38,0.434154909894049,21.6791210174561,0.256543308496475,0.0297200977802277,
000836,2017,C38,0.425367118356117,21.6985473632813,0.224830955266953,0.0517432615160942,
000836,2018,C38,0.311583665838435,21.8464126586914,0.447796285152435,0.0352131091058254,
000836,2019,C38,0.489459132781015,21.6682548522949,0.495844602584839,0.0187493730336428,
000836,2020,C38,0.185522968038201,21.6832523345947,0.495486885309219,0.0062869219109416,
000837,2015,C34,0.0812177523905153,22.6303577423096,0.486140459775925,-0.0368513949215412,
000837,2016,C34,0.128744949489814,22.7801074981689,0.551824629306793,0.00285107549279928,
000837,2017,C34,0.172087427900114,22.8866786956787,0.586789906024933,0.00437584659084678,
000837,2018,C34,0.149501864123039,22.9266700744629,0.635442912578583,-0.030885087326169,
000837,2019,C34,0.175679085513646,22.8731842041016,0.659134924411774,-0.0368813648819923,
000837,2021,C34,0.134758221236851,22.7865886688232,0.508099913597107,0.0417438633739948,
000837,2022,C34,0.145208737807874,22.8657855987549,0.51634806394577,0.0382595434784889,
000837,2023,C34,0.0643302876178684,23.0117874145508,0.453132510185242,0.00679427990689874,
000837,2024,C34,0.0696757915537458,22.99680519104,0.438637286424637,0.00764785427600145,
000838,2020,K70,0.938269199467824,23.6232357025146,0.839794218540192,0.0142445797100663,
000839,2007,I63,0.0221808739446045,23.0651454925537,0.507583439350128,0.0300583187490702,
000839,2010,S91,0.137708280334191,23.097972869873,0.476518541574478,0.0107112322002649,
000839,2011,S91,0.179831716425089,23.1074047088623,0.495305150747299,0.00751318177208304,
000839,2012,I63,0.410070892251715,23.174898147583,0.551332414150238,-0.0065724877640605,
000839,2013,I63,0.378274301367303,23.1710205078125,0.575092136859894,-0.0120256152004004,
000839,2014,I63,0.0843947664201002,23.1613006591797,0.420210152864456,0.0156092680990696,
000839,2017,I63,0.800077942728035,23.5447521209717,0.556390464305878,0.0178973637521267,
000839,2019,I63,0.964240516762451,23.5628776550293,0.484025120735168,-0.00228683464229107,
000848,2010,C15,0.673854167577075,21.0380344390869,0.442135512828827,0.130551770329475,
000848,2011,C15,0.0804918812477396,21.1270942687988,0.481620937585831,0.129903733730316,
000848,2013,C15,0.901175215556137,21.3520679473877,0.446110486984253,0.183173134922981,
000848,2014,C15,0.956743244826462,21.3388767242432,0.27618283033371,0.18884129047393747,
000848,2015,C15,0.930776578423825,21.6361217498779,0.317129254341125,0.188077881932259,
000848,2016,C15,0.900337429028722,21.8534832000732,0.351975411176682,0.147181928157806,
000848,2017,C15,0.815299294360311,21.7570343017578,0.276860862970352,0.148715659976006,
000848,2018,C15,0.9763709127563678,21.7680740356445,0.311757177114487,0.145152002573013,
000848,2019,C15,0.951086023132781,21.8564414978027,0.34599980711937,0.150008261203766,
000848,2021,C15,0.936110164458676,21.9784069061279,0.318177700042725,0.161939889192581,
000848,2022,C15,0.9763709127563678,22.0616130828857,0.267270505428314,0.157810032367706,
000848,2023,C15,0.942875340059323,22.1538734436035,0.252874255180359,0.15262496471405,
000848,2024,C15,0.966269227333389,22.2474384307861,0.251013368368149,0.145091503858566,
000850,2008,C17,0.0180585543042676,21.8814296722412,0.542047500610352,0.0431321673095226,
000850,2011,C17,0.29946328677147,22.5712299346924,0.61065411567688,0.0467905215919018,
000850,2012,C17,0.914663682006529,22.6228847503662,0.485021322965622,0.0497239045798779,
000850,2013,C17,0.232245160170997,22.5423183441162,0.480608969926834,0.028482349589467,
000850,2014,C17,0.60132304152501,22.6220397949219,0.406990259885788,0.0534559264779091,
000850,2015,C17,0.250974482382406,22.8717346191406,0.36651548743248,0.00523257162421942,
000850,2016,C17,0.587390047384502,22.7768039703369,0.389473885297775,0.00828841608017683,
000850,2017,C17,0.676345187910279,22.7865753173828,0.406966775655746,0.0105073992162943,
000850,2018,C17,0.152385172261123,22.7485866546631,0.435231745243073,0.0127208102494478,
000850,2019,C17,0.177288611005274,22.7451305389404,0.424040257930756,0.0208938214927912,
000850,2020,C17,0.189672091943803,22.6899890899658,0.3860122859478,0.028771759942174,
000850,2021,C17,0.135567452304812,22.7602157592773,0.377283900976181,0.0604614950716496,
000850,2022,C17,0.14624036363696,22.7113361358643,0.377796649932861,-0.0251967720687389,
000850,2023,C17,0.0656792409773086,22.7248115539551,0.395781993865967,0.0168059933930635,
000850,2024,C17,0.0710400024609926,22.6796779632568,0.359352380037308,0.038993876427412,
000851,2009,C30,0.0609535097251226,21.345308303833,0.427516758441925,0.0133208362385631,
000851,2010,C30,0.138233081401178,21.5773620605469,0.535682559013367,0.0104141738265753,
000851,2013,F52,0.539368490453214,22.4293479919434,0.575700402259827,0.0137223517522216,
000851,2014,F52,0.428203738803052,22.5440711975098,0.550447344779968,0.01630924269557,
000851,2015,F52,0.585313664433868,22.593189239502,0.555324733257294,0.0180426370352507,
000851,2016,F52,0.585955222328925,22.7719440460205,0.581808865070343,0.0155789302662015,
000851,2017,F52,0.551630468684586,22.8234844207764,0.576464533805847,0.0228381734341383,
000851,2018,F52,0.312258341265834,22.8911876678467,0.552113056182861,0.00666362652555108,
000851,2019,F52,0.648078460224119,22.9565830230713,0.580900430679321,0.00220120139420033,
000851,2020,F52,0.186071594918257,23.0257186889648,0.631052494049072,-0.0139882760122418,
000851,2023,F52,0.0642758326164431,22.8396129608154,0.578394293785095,-0.186402961611748,
000852,2010,C35,0.657161889322211,21.2277889251709,0.324277102947235,0.0661895051598549,
000852,2011,C35,0.411896133901039,21.3645439147949,0.388512194156647,0.0586281791329384,
000852,2012,C35,0.245482158701627,21.4998722076416,0.444678664207458,0.0594348832964897,
000852,2013,C35,0.219593108608141,21.5733432769775,0.476201713085175,0.0417390801012516,
000852,2014,C35,0.254581632232363,21.5541706085205,0.465307384729385,0.0270619224756956,
000852,2015,C35,0.0801002665537534,22.7218151092529,0.637231290340424,0.00576986325904727,
000852,2016,C35,0.885547220429296,22.5981597900391,0.718388080596924,-0.123900599777699,
000852,2017,C35,0.797996748824297,22.6687469482422,0.728646159172058,0.00495737418532372,
000852,2018,C35,0.955856678778249,22.7820777893066,0.755080461502075,0.00407646829262376,
000852,2019,C35,0.963934473172562,22.9041309356689,0.779779314994812,0.00510300183668733,
000852,2020,C35,0.926408360463962,22.8279724121094,0.760699689388275,0.00373724708333611,
000852,2021,C35,0.921144404660975,22.8180503845215,0.752882540225983,0.00736892130225897,
000852,2022,C35,0.975674991982112,23.0199604034424,0.69281393289566,0.00680682947859168,
000852,2023,C35,0.936284688076227,23.0302581787109,0.686619281768799,0.0108274212107062,
000852,2024,C35,0.959044307992331,23.0665855407715,0.685821533203125,0.0117131313309073,
000856,2024,C35,0.602827370767102,21.5283107757568,0.799798488616943,0.00969959050416946,
000858,2010,C14,0.146178773116563,24.0792388916016,0.359474748373032,0.159103587269783,
000858,2013,C15,0.884788489832132,24.5103950500488,0.161121636629105,0.188586205244064,
000858,2016,C15,0.139303074617968,24.8532085418701,0.22466716170311,0.113499522209167,
000858,2017,C15,0.180737491674136,24.9848556518555,0.229098975658417,0.142210885882378,
000858,2022,C15,0.154615166335789,25.7518367767334,0.235933616757393,0.183156087994576,
000858,2024,C15,0.0810971769296355,25.9610481262207,0.275467813014984,0.176324412226677,
000859,2009,C29,0.0611624872521756,21.0862140655518,0.387046724557877,-0.106232136487961,
000859,2011,C29,0.0663994083834109,21.1128749847412,0.373586267232895,0.0151717215776443,
000859,2015,C29,0.919336772813247,21.3849620819092,0.244062498211861,0.00215704995207489,
000859,2016,C29,0.889016478952062,21.4598827362061,0.294364660978317,0.00426449393853545,
000859,2018,C29,0.958928476012693,21.4697322845459,0.246996879577637,0.041157953441143,
000859,2019,C29,0.965665759710332,21.4982109069824,0.237929463386536,0.0333436951041222,
000859,2021,C29,0.922390387339852,21.9027118682861,0.171157509088516,0.0853834599256515,
000859,2023,C29,0.937245582775597,22.1270484924316,0.297121286392212,-0.00703443540260196,
000859,2024,C29,0.960206212521212,22.1906108856201,0.35648050904274,-0.0160736106336117,
000860,2010,A01,0.143019525016799,23.018762588501,0.718410074710846,0.0283807553350925,
000860,2011,A01,0.417483407373383,23.0585956573486,0.710259556770325,0.0311253536492586,
000860,2012,C13,0.759043440014313,23.2473602294922,0.760738849639893,0.0104651628062129,
000860,2013,C13,0.244988445775178,23.3471717834473,0.769649267196655,0.0148441037163138,
000860,2014,C13,0.0903130643871907,23.4668827056885,0.666391611099243,0.0234671756625175,
000860,2015,C13,0.922665916351567,23.4894180297852,0.653781831264496,0.0241097044199705,
000860,2017,C15,0.8069178722255,23.6362705230713,0.612906873226166,0.0240271165966988,
000860,2019,C15,0.972236497444574,23.8152885437012,0.661228835582733,0.037162896245718,
000860,2021,C15,0.926721479178264,23.6881523132324,0.598155081272125,0.00542836543172598,
000860,2022,C15,0.9763709127563678,23.7316932678223,0.650214374065399,-0.0340226665139198,
000860,2023,C15,0.942567710364288,23.4554996490479,0.557374715805054,-0.0194367282092571,
000860,2024,C15,0.967850541931843,23.4309520721436,0.529540181159973,0.0168350096791983,
000861,2010,F52,0.658375956451724,21.630931854248,0.620717346668243,0.105699561536312,
